Page 1: P72572A (bbox: (36.20020294189453, 770.0149536132812, 110.38021087646484, 794.054931640625), font: MyriadPro-Regular, size: 20.0)
Page 1: Total Marks (bbox: (467.8677978515625, 335.6199035644531, 517.226806640625, 347.639892578125), font: MyriadPro-Regular, size: 10.0)
Page 1: Physics (bbox: (120.6051025390625, 228.43862915039062, 198.55711364746094, 258.17462158203125), font: MyriadPro-Bold, size: 24.0)
Page 1: PAPER 1 (bbox: (120.78500366210938, 257.6246337890625, 187.96099853515625, 279.9266357421875), font: MyriadPro-Bold, size: 18.0)
Page 1: Foundation Tier (bbox: (401.722900390625, 278.6026306152344, 514.31494140625, 298.4266357421875), font: MyriadPro-Bold, size: 16.0)
Page 1: You must have: (bbox: (118.55459594726562, 332.3298034667969, 199.62660217285156, 347.19781494140625), font: MyriadPro-Bold, size: 12.0)
Page 1: Calculator, ruler, Equation Booklet (enclosed) (bbox: (118.55459594726562, 346.77783203125, 341.3682556152344, 361.20184326171875), font: MyriadPro-Regular, size: 12.0)
Page 1: Instructions (bbox: (96.37740325927734, 401.93212890625, 168.60198974609375, 419.0401306152344), font: MyriadPro-Semibold, size: 14.0)
Page 1: • (bbox: (96.37740325927734, 410.993408203125, 110.9374008178711, 445.20941162109375), font: MyriadPro-Semibold, size: 28.0)
Page 1: Use (bbox: (111.4010009765625, 423.785400390625, 132.155029296875, 438.20941162109375), font: MyriadPro-Regular, size: 12.0)
Page 1: black (bbox: (132.4130096435547, 423.3414001464844, 161.1494140625, 438.20941162109375), font: MyriadPro-Bold, size: 12.0)
Page 1: ink or ball-point pen. (bbox: (161.14100646972656, 423.785400390625, 267.70709228515625, 438.20941162109375), font: MyriadPro-Regular, size: 12.0)
Page 1: • (bbox: (96.37740325927734, 424.993408203125, 110.9374008178711, 459.20941162109375), font: MyriadPro-Semibold, size: 28.0)
Page 1: Fill in the boxes (bbox: (111.4010009765625, 437.3414001464844, 194.97259521484375, 452.20941162109375), font: MyriadPro-Bold, size: 12.0)
Page 1: at the top of this page with your name, (bbox: (194.96900939941406, 437.785400390625, 396.29815673828125, 452.20941162109375), font: MyriadPro-Regular, size: 12.0)
Page 1: centre number and candidate number. (bbox: (111.40101623535156, 451.7893981933594, 302.81298828125, 466.2134094238281), font: MyriadPro-Regular, size: 12.0)
Page 1: • (bbox: (96.37740325927734, 452.993408203125, 110.9374008178711, 487.20941162109375), font: MyriadPro-Semibold, size: 28.0)
Page 1: Answer (bbox: (111.4010009765625, 465.785400390625, 150.9014129638672, 480.20941162109375), font: MyriadPro-Regular, size: 12.0)
Page 1: all (bbox: (151.15699768066406, 465.3414001464844, 164.02101135253906, 480.20941162109375), font: MyriadPro-Bold, size: 12.0)
Page 1: questions. (bbox: (164.02099609375, 465.785400390625, 217.4029998779297, 480.20941162109375), font: MyriadPro-Regular, size: 12.0)
Page 1: • (bbox: (96.37740325927734, 466.993408203125, 110.9374008178711, 501.20941162109375), font: MyriadPro-Semibold, size: 28.0)
Page 1: Answer the questions in the spaces provided (bbox: (111.4010009765625, 479.785400390625, 338.5743408203125, 494.20941162109375), font: MyriadPro-Regular, size: 12.0)
Page 1: – (bbox: (111.4010009765625, 493.7893981933594, 119.94499969482422, 508.2134094238281), font: MyriadPro-Regular, size: 12.0)
Page 1: there may be more space than you need (bbox: (120.19700622558594, 493.77740478515625, 309.2449951171875, 508.2134094238281), font: MyriadPro-It, size: 12.0)
Page 1: . (bbox: (309.041015625, 493.7893981933594, 311.5250244140625, 508.2134094238281), font: MyriadPro-Regular, size: 12.0)
Page 1: Information (bbox: (96.37740325927734, 520.7747192382812, 168.65797424316406, 537.8826904296875), font: MyriadPro-Semibold, size: 14.0)
Page 1: • (bbox: (96.37740325927734, 530.8358764648438, 110.9374008178711, 565.0518798828125), font: MyriadPro-Semibold, size: 28.0)
Page 1: The total mark for this paper is 100. (bbox: (111.4010009765625, 543.6278686523438, 285.68548583984375, 558.0518798828125), font: MyriadPro-Regular, size: 12.0)
Page 1: • (bbox: (96.37740325927734, 545.8358764648438, 110.9374008178711, 580.0518798828125), font: MyriadPro-Semibold, size: 28.0)
Page 1: The marks for (bbox: (111.4010009765625, 558.6278686523438, 182.02456665039062, 573.0518798828125), font: MyriadPro-Regular, size: 12.0)
Page 1: each (bbox: (182.2765655517578, 558.1838989257812, 207.39137268066406, 573.0518798828125), font: MyriadPro-Bold, size: 12.0)
Page 1: question are shown in brackets (bbox: (207.4010009765625, 558.6278686523438, 366.95086669921875, 573.0518798828125), font: MyriadPro-Regular, size: 12.0)
Page 1: – (bbox: (111.4010009765625, 573.6278686523438, 119.94499969482422, 588.0518798828125), font: MyriadPro-Regular, size: 12.0)
Page 1: use this as a guide as to how much time to spend on each question (bbox: (120.19700622558594, 573.6159057617188, 434.0509948730469, 588.0518798828125), font: MyriadPro-It, size: 12.0)
Page 1: . (bbox: (433.80499267578125, 573.6278686523438, 436.28900146484375, 588.0518798828125), font: MyriadPro-Regular, size: 12.0)
Page 1: • (bbox: (96.37740325927734, 575.8358764648438, 110.9374008178711, 610.0518798828125), font: MyriadPro-Semibold, size: 28.0)
Page 1: In questions marked with an (bbox: (111.4010009765625, 588.6278686523438, 254.5345916748047, 603.0518798828125), font: MyriadPro-Regular, size: 12.0)
Page 1: asterisk (bbox: (254.78660583496094, 588.1838989257812, 296.4734191894531, 603.0518798828125), font: MyriadPro-Bold, size: 12.0)
Page 1: ( (bbox: (296.47698974609375, 588.6278686523438, 302.6809997558594, 603.0518798828125), font: MyriadPro-Regular, size: 12.0)
Page 1: * (bbox: (302.3330078125, 588.1838989257812, 307.781005859375, 603.0518798828125), font: MyriadPro-Bold, size: 12.0)
Page 1: ), marks will be awarded for your ability to (bbox: (307.44500732421875, 588.6278686523438, 517.8915405273438, 603.0518798828125), font: MyriadPro-Regular, size: 12.0)
Page 1: structure your answer logically, showing how the points that you make are related or (bbox: (111.38899230957031, 603.6278686523438, 533.1666870117188, 618.0518798828125), font: MyriadPro-Regular, size: 12.0)
Page 1: follow on from each other where appropriate. (bbox: (111.38899230957031, 618.6278686523438, 337.56390380859375, 633.0518798828125), font: MyriadPro-Regular, size: 12.0)
Page 1: • (bbox: (96.37740325927734, 620.8359375, 110.9374008178711, 655.0519409179688), font: MyriadPro-Semibold, size: 28.0)
Page 1: A list of equations is included at the end of this exam paper. (bbox: (111.4010009765625, 633.6279296875, 407.22998046875, 648.0519409179688), font: MyriadPro-Regular, size: 12.0)
Page 1: Advice (bbox: (96.37740325927734, 661.4439697265625, 137.31338500976562, 678.5519409179688), font: MyriadPro-Semibold, size: 14.0)
Page 1: • (bbox: (96.37740325927734, 671.5051879882812, 110.9374008178711, 705.72119140625), font: MyriadPro-Semibold, size: 28.0)
Page 1: Read each question carefully before you start to answer it. (bbox: (111.4010009765625, 684.2971801757812, 398.7701416015625, 698.72119140625), font: MyriadPro-Regular, size: 12.0)
Page 1: • (bbox: (96.37740325927734, 686.5051879882812, 110.9374008178711, 720.72119140625), font: MyriadPro-Semibold, size: 28.0)
Page 1: Try to answer every question. (bbox: (111.4010009765625, 699.2971801757812, 256.5566101074219, 713.72119140625), font: MyriadPro-Regular, size: 12.0)
Page 1: • (bbox: (96.37740325927734, 701.5051879882812, 110.9374008178711, 735.72119140625), font: MyriadPro-Semibold, size: 28.0)
Page 1: Check your answers if you have time at the end. (bbox: (111.4010009765625, 714.2971801757812, 347.96795654296875, 728.72119140625), font: MyriadPro-Regular, size: 12.0)
Page 2: Answer ALL questions. Write your answers in the spaces provided. (bbox: (122.96730041503906, 59.49399948120117, 472.306640625, 74.36199951171875), font: MyriadPro-Bold, size: 12.0)
Page 2: answer, put a line through the box (bbox: (73.42549133300781, 97.47593688964844, 255.2950897216797, 112.34393310546875), font: MyriadPro-Bold, size: 12.0)
Page 2:  (bbox: (255.2950897216797, 97.47593688964844, 257.7190856933594, 112.34393310546875), font: MyriadPro-Bold, size: 12.0)
Page 2: and then mark your new answer with a cross . (bbox: (269.406982421875, 97.47190856933594, 521.8544921875, 112.33990478515625), font: MyriadPro-Bold, size: 12.0)
Page 2: 1 (bbox: (42.51445007324219, 125.64793395996094, 49.1744499206543, 140.51593017578125), font: MyriadPro-Bold, size: 12.0)
Page 2: This question is about waves in the electromagnetic (e-m) spectrum. (bbox: (49.17449951171875, 126.09193420410156, 403.688232421875, 140.51593017578125), font: MyriadPro-Regular, size: 12.0)
Page 2:  (bbox: (42.514503479003906, 150.0679473876953, 45.058502197265625, 164.491943359375), font: MyriadPro-Regular, size: 12.0)
Page 2: (a)	 (i)	 Figure 1 shows some types of radiation that form part of the e-m spectrum (bbox: (60.93450164794922, 150.06788635253906, 474.968505859375, 164.491943359375), font: MyriadPro-Regular, size: 12.0)
Page 2: and some uses of e-m radiation. (bbox: (97.78646850585938, 164.07191467285156, 258.07049560546875, 178.49591064453125), font: MyriadPro-Regular, size: 12.0)
Page 2:  (bbox: (42.514503479003906, 188.0479278564453, 45.058502197265625, 202.471923828125), font: MyriadPro-Regular, size: 12.0)
Page 2:  (bbox: (60.93450164794922, 188.0479278564453, 63.47850036621094, 202.471923828125), font: MyriadPro-Regular, size: 12.0)
Page 2: Draw (bbox: (90.50248718261719, 188.0479278564453, 126.70650482177734, 202.471923828125), font: MyriadPro-Regular, size: 12.0)
Page 2: one (bbox: (126.95849609375, 187.6039276123047, 147.25048828125, 202.471923828125), font: MyriadPro-Bold, size: 12.0)
Page 2: straight line from each type of e-m radiation to its use. (bbox: (147.25048828125, 188.0479278564453, 421.95245361328125, 202.471923828125), font: MyriadPro-Regular, size: 12.0)
Page 2:  (bbox: (42.514503479003906, 212.02394104003906, 45.058502197265625, 226.44793701171875), font: MyriadPro-Regular, size: 12.0)
Page 2:  (bbox: (60.93450164794922, 212.02394104003906, 63.47850036621094, 226.44793701171875), font: MyriadPro-Regular, size: 12.0)
Page 2:  (bbox: (90.50250244140625, 212.02394104003906, 93.04650115966797, 226.44793701171875), font: MyriadPro-Regular, size: 12.0)
Page 2: One (bbox: (93.04650115966797, 211.57994079589844, 119.80650329589844, 226.44793701171875), font: MyriadPro-Bold, size: 12.0)
Page 2: line has been drawn for you. (bbox: (119.80650329589844, 212.02394104003906, 264.3934326171875, 226.44793701171875), font: MyriadPro-Regular, size: 12.0)
Page 2: (3) (bbox: (495.79052734375, 225.58396911621094, 510.2265625, 240.45196533203125), font: MyriadPro-Bold, size: 12.0)
Page 2: infrared (bbox: (150.3345184326172, 315.36798095703125, 189.53851318359375, 329.7919921875), font: MyriadPro-Regular, size: 12.0)
Page 2: visible light (bbox: (141.17999267578125, 377.04119873046875, 198.72000122070312, 391.4652099609375), font: MyriadPro-Regular, size: 12.0)
Page 2: microwaves (bbox: (140.25680541992188, 438.71832275390625, 199.64480590820312, 453.142333984375), font: MyriadPro-Regular, size: 12.0)
Page 2: ultraviolet (bbox: (144.47500610351562, 500.3955078125, 195.427001953125, 514.8195190429688), font: MyriadPro-Regular, size: 12.0)
Page 2: satellite transmission (bbox: (372.5736083984375, 295.52142333984375, 477.5617980957031, 309.9454345703125), font: MyriadPro-Regular, size: 12.0)
Page 2: disinfecting water (bbox: (380.0736083984375, 351.70062255859375, 470.06170654296875, 366.1246337890625), font: MyriadPro-Regular, size: 12.0)
Page 2: colour photography (bbox: (374.82940673828125, 407.87969970703125, 475.3043518066406, 422.3037109375), font: MyriadPro-Regular, size: 12.0)
Page 2: scanning for (bbox: (394.0352783203125, 457.05889892578125, 458.64337158203125, 471.48291015625), font: MyriadPro-Regular, size: 12.0)
Page 2: broken bones (bbox: (390.49530029296875, 471.0628967285156, 459.65374755859375, 485.4869079589844), font: MyriadPro-Regular, size: 12.0)
Page 2: thermal imaging (bbox: (383.343505859375, 520.2379760742188, 466.79034423828125, 534.6619873046875), font: MyriadPro-Regular, size: 12.0)
Page 2: type of radiation (bbox: (126.17489624023438, 253.98692321777344, 215.8988800048828, 268.85491943359375), font: MyriadPro-Bold, size: 12.0)
Page 2: use of radiation (bbox: (381.43890380859375, 253.98692321777344, 465.4137268066406, 268.85491943359375), font: MyriadPro-Bold, size: 12.0)
Page 2: Figure 1 (bbox: (276.00689697265625, 553.8429565429688, 319.2789001464844, 568.7109375), font: MyriadPro-Bold, size: 12.0)
Page 2:  (bbox: (42.52290344238281, 582.5109252929688, 45.06690216064453, 596.9349365234375), font: MyriadPro-Regular, size: 12.0)
Page 2:  (bbox: (60.942901611328125, 582.5109252929688, 63.486900329589844, 596.9349365234375), font: MyriadPro-Regular, size: 12.0)
Page 2: (ii)	 Which of these waves has the highest frequency? (bbox: (78.09089660644531, 582.5109252929688, 344.23785400390625, 596.9349365234375), font: MyriadPro-Regular, size: 12.0)
Page 2: (1) (bbox: (495.7989501953125, 596.0709838867188, 510.2349853515625, 610.93896484375), font: MyriadPro-Bold, size: 12.0)
Page 2:  (bbox: (112.7200927734375, 611.717041015625, 115.14409637451172, 626.5850219726562), font: MyriadPro-Bold, size: 12.0)
Page 2: A (bbox: (130.10800170898438, 611.717041015625, 140.40399169921875, 626.5850219726562), font: MyriadPro-Bold, size: 12.0)
Page 2: infrared (bbox: (140.40399169921875, 612.1610107421875, 187.39608764648438, 626.5850219726562), font: MyriadPro-Regular, size: 12.0)
Page 2:  (bbox: (112.7200927734375, 635.717041015625, 115.14409637451172, 650.5850219726562), font: MyriadPro-Bold, size: 12.0)
Page 2: B (bbox: (130.10800170898438, 635.717041015625, 139.77999877929688, 650.5850219726562), font: MyriadPro-Bold, size: 12.0)
Page 2: microwaves (bbox: (139.77999877929688, 636.1610107421875, 207.58009338378906, 650.5850219726562), font: MyriadPro-Regular, size: 12.0)
Page 2:  (bbox: (112.7200927734375, 659.717041015625, 115.14409637451172, 674.5850219726562), font: MyriadPro-Bold, size: 12.0)
Page 2: C (bbox: (130.10800170898438, 659.717041015625, 139.6719970703125, 674.5850219726562), font: MyriadPro-Bold, size: 12.0)
Page 2: ultraviolet (bbox: (139.6719970703125, 660.1610107421875, 199.1440887451172, 674.5850219726562), font: MyriadPro-Regular, size: 12.0)
Page 2:  (bbox: (112.7200927734375, 683.717041015625, 115.14409637451172, 698.5850219726562), font: MyriadPro-Bold, size: 12.0)
Page 2: D (bbox: (130.10800170898438, 683.717041015625, 140.88400268554688, 698.5850219726562), font: MyriadPro-Bold, size: 12.0)
Page 2: visible light (bbox: (140.88400268554688, 684.1610107421875, 205.73208618164062, 698.5850219726562), font: MyriadPro-Regular, size: 12.0)
Page 3:  (bbox: (42.51909637451172, 59.9379997253418, 45.06309509277344, 74.36199951171875), font: MyriadPro-Regular, size: 12.0)
Page 3: (b)	 X-rays are also part of the e-m spectrum. (bbox: (59.90709686279297, 59.9379997253418, 282.3631591796875, 74.36199951171875), font: MyriadPro-Regular, size: 12.0)
Page 3:  (bbox: (42.51909637451172, 83.91401672363281, 45.06309509277344, 98.3380126953125), font: MyriadPro-Regular, size: 12.0)
Page 3: Figure 2 shows an airport security scanner using X-rays to scan passengers’ bags. (bbox: (73.51509094238281, 83.91401672363281, 481.6439208984375, 98.3380126953125), font: MyriadPro-Regular, size: 12.0)
Page 3: (Source: © Net Vector / Shutterstock) (bbox: (340.23919677734375, 301.2514343261719, 490.3928527832031, 313.27142333984375), font: MyriadPro-Regular, size: 10.0)
Page 3: Figure 2 (bbox: (276.00152587890625, 323.2814025878906, 319.2735290527344, 338.1494140625), font: MyriadPro-Bold, size: 12.0)
Page 3:  (bbox: (42.51750183105469, 351.94940185546875, 45.061500549316406, 366.3734130859375), font: MyriadPro-Regular, size: 12.0)
Page 3:  (bbox: (60.9375, 351.94940185546875, 63.48149871826172, 366.3734130859375), font: MyriadPro-Regular, size: 12.0)
Page 3: (i)	 Explain why X-rays are used to scan passengers’ bags. (bbox: (80.89350128173828, 351.94940185546875, 364.34454345703125, 366.3734130859375), font: MyriadPro-Regular, size: 12.0)
Page 3: (2) (bbox: (495.79351806640625, 365.5093994140625, 510.22955322265625, 380.3774108886719), font: MyriadPro-Bold, size: 12.0)
Page 3:  (bbox: (42.51909637451172, 506.8214111328125, 45.06309509277344, 521.2454223632812), font: MyriadPro-Regular, size: 12.0)
Page 3:  (bbox: (60.94389343261719, 506.8214111328125, 63.487892150878906, 521.2454223632812), font: MyriadPro-Regular, size: 12.0)
Page 3: (ii)	 Explain why passengers are (bbox: (78.08709716796875, 506.8214111328125, 237.86708068847656, 521.2454223632812), font: MyriadPro-Regular, size: 12.0)
Page 3: not (bbox: (238.1190948486328, 506.3774108886719, 256.4791259765625, 521.2454223632812), font: MyriadPro-Bold, size: 12.0)
Page 3: scanned with X-rays. (bbox: (256.4791259765625, 506.8214111328125, 361.6712646484375, 521.2454223632812), font: MyriadPro-Regular, size: 12.0)
Page 3: (2) (bbox: (495.79510498046875, 520.3814086914062, 510.23114013671875, 535.2493896484375), font: MyriadPro-Bold, size: 12.0)
Page 3: (Total for Question 1 = 8 marks) (bbox: (342.19970703125, 657.04833984375, 510.22259521484375, 671.9163208007812), font: MyriadPro-Bold, size: 12.0)
Page 4: 2 (bbox: (42.51909637451172, 59.49399948120117, 49.17909622192383, 74.36199951171875), font: MyriadPro-Bold, size: 12.0)
Page 4: (a)	 Figure 3 shows a ray of light striking a mirror. (bbox: (49.179100036621094, 59.9379997253418, 303.85296630859375, 74.36199951171875), font: MyriadPro-Regular, size: 12.0)
Page 4:  (bbox: (42.51909637451172, 83.91401672363281, 45.06309509277344, 98.3380126953125), font: MyriadPro-Regular, size: 12.0)
Page 4: The angle of incidence is 30˚ and the ray of light is reflected. (bbox: (73.51509094238281, 83.91401672363281, 379.827392578125, 98.3380126953125), font: MyriadPro-Regular, size: 12.0)
Page 4: incident ray (bbox: (184.73129272460938, 127.20570373535156, 243.747314453125, 141.62969970703125), font: MyriadPro-Regular, size: 12.0)
Page 4: mirror (bbox: (364.3353271484375, 212.9577178955078, 395.43939208984375, 227.3817138671875), font: MyriadPro-Regular, size: 12.0)
Page 4: 30° (bbox: (278.27130126953125, 168.0777130126953, 294.3993225097656, 182.501708984375), font: MyriadPro-Regular, size: 12.0)
Page 4: reflected ray (bbox: (348.1593017578125, 127.20570373535156, 410.5353698730469, 141.62969970703125), font: MyriadPro-Regular, size: 12.0)
Page 4: normal (bbox: (279.1473388671875, 112.32569885253906, 314.9913635253906, 126.74969482421875), font: MyriadPro-Regular, size: 12.0)
Page 4: Figure 3 (bbox: (275.9913330078125, 251.3696746826172, 319.2633361816406, 266.2376708984375), font: MyriadPro-Bold, size: 12.0)
Page 4:  (bbox: (42.507301330566406, 280.0377197265625, 45.051300048828125, 294.46173095703125), font: MyriadPro-Regular, size: 12.0)
Page 4: The angle of reflection is the angle between (bbox: (73.5032958984375, 280.0377197265625, 299.8101501464844, 294.46173095703125), font: MyriadPro-Regular, size: 12.0)
Page 4: (1) (bbox: (495.79534912109375, 293.5977478027344, 510.23138427734375, 308.46575927734375), font: MyriadPro-Bold, size: 12.0)
Page 4:  (bbox: (98.19180297851562, 311.7170104980469, 100.61580657958984, 326.58502197265625), font: MyriadPro-Bold, size: 12.0)
Page 4: A (bbox: (115.5198974609375, 311.7170104980469, 125.81591033935547, 326.58502197265625), font: MyriadPro-Bold, size: 12.0)
Page 4: the mirror and the incident ray (bbox: (125.81591033935547, 312.1610107421875, 288.3210754394531, 326.58502197265625), font: MyriadPro-Regular, size: 12.0)
Page 4:  (bbox: (98.02169799804688, 335.7170104980469, 100.4457015991211, 350.58502197265625), font: MyriadPro-Bold, size: 12.0)
Page 4: B (bbox: (115.5177001953125, 335.7170104980469, 125.18970489501953, 350.58502197265625), font: MyriadPro-Bold, size: 12.0)
Page 4: the mirror and the normal (bbox: (125.18970489501953, 336.1610107421875, 265.1457214355469, 350.58502197265625), font: MyriadPro-Regular, size: 12.0)
Page 4:  (bbox: (98.19180297851562, 359.7170104980469, 100.61580657958984, 374.58502197265625), font: MyriadPro-Bold, size: 12.0)
Page 4: C (bbox: (115.5198974609375, 359.7170104980469, 125.08390045166016, 374.58502197265625), font: MyriadPro-Bold, size: 12.0)
Page 4: the reflected ray and the incident ray (bbox: (125.08390045166016, 360.1610107421875, 319.5907287597656, 374.58502197265625), font: MyriadPro-Regular, size: 12.0)
Page 4:  (bbox: (98.19180297851562, 383.7170104980469, 100.61580657958984, 398.58502197265625), font: MyriadPro-Bold, size: 12.0)
Page 4: D (bbox: (115.5198974609375, 383.7170104980469, 126.29590606689453, 398.58502197265625), font: MyriadPro-Bold, size: 12.0)
Page 4: the reflected ray and the normal (bbox: (126.29590606689453, 384.1610107421875, 296.4186706542969, 398.58502197265625), font: MyriadPro-Regular, size: 12.0)
Page 4:  (bbox: (42.511802673339844, 427.9850158691406, 45.05580139160156, 442.4090270996094), font: MyriadPro-Regular, size: 12.0)
Page 4: (b)	 Figure 4 shows two lenses, P and Q, arranged to form a simple telescope. (bbox: (59.899803161621094, 427.9850158691406, 443.02294921875, 442.4090270996094), font: MyriadPro-Regular, size: 12.0)
Page 4: P (bbox: (152.960205078125, 453.5547180175781, 159.34420776367188, 467.9787292480469), font: MyriadPro-Regular, size: 12.0)
Page 4: Q (bbox: (448.71221923828125, 490.646728515625, 456.980224609375, 505.07073974609375), font: MyriadPro-Regular, size: 12.0)
Page 4: Figure 4 (bbox: (276.0081787109375, 603.8307495117188, 319.2801818847656, 618.69873046875), font: MyriadPro-Bold, size: 12.0)
Page 4:  (bbox: (42.524200439453125, 632.5106811523438, 45.068199157714844, 646.9346923828125), font: MyriadPro-Regular, size: 12.0)
Page 4:  (bbox: (60.94419860839844, 632.5106811523438, 63.488197326660156, 646.9346923828125), font: MyriadPro-Regular, size: 12.0)
Page 4: (i)	 State (bbox: (80.90019989013672, 632.5106811523438, 125.83899688720703, 646.9346923828125), font: MyriadPro-Regular, size: 12.0)
Page 4: one (bbox: (126.10420227050781, 632.0667114257812, 146.3961944580078, 646.9346923828125), font: MyriadPro-Bold, size: 12.0)
Page 4: use for a telescope. (bbox: (146.3961944580078, 632.5106811523438, 245.18017578125, 646.9346923828125), font: MyriadPro-Regular, size: 12.0)
Page 4: (1) (bbox: (495.81219482421875, 646.0707397460938, 510.24822998046875, 660.938720703125), font: MyriadPro-Bold, size: 12.0)
Page 5:  (bbox: (42.51909637451172, 59.9379997253418, 45.06309509277344, 74.36199951171875), font: MyriadPro-Regular, size: 12.0)
Page 5:  (bbox: (60.94389343261719, 59.9379997253418, 63.487892150878906, 74.36199951171875), font: MyriadPro-Regular, size: 12.0)
Page 5: (ii)	 Which of these describes the lenses? (bbox: (78.08709716796875, 59.9379997253418, 280.68316650390625, 74.36199951171875), font: MyriadPro-Regular, size: 12.0)
Page 5: (1) (bbox: (495.79510498046875, 73.49803161621094, 510.23114013671875, 88.36602783203125), font: MyriadPro-Bold, size: 12.0)
Page 5:  (bbox: (102.9320068359375, 95.71702575683594, 105.35601043701172, 110.58502197265625), font: MyriadPro-Bold, size: 12.0)
Page 5: A (bbox: (120.04400634765625, 95.71702575683594, 130.33999633789062, 110.58502197265625), font: MyriadPro-Bold, size: 12.0)
Page 5: P is converging, Q is diverging (bbox: (130.33999633789062, 96.16102600097656, 288.9189453125, 110.58502197265625), font: MyriadPro-Regular, size: 12.0)
Page 5:  (bbox: (102.9320068359375, 119.71702575683594, 105.35601043701172, 134.58502197265625), font: MyriadPro-Bold, size: 12.0)
Page 5: B (bbox: (120.04400634765625, 119.71702575683594, 129.71600341796875, 134.58502197265625), font: MyriadPro-Bold, size: 12.0)
Page 5: P is diverging, Q is converging (bbox: (129.71600341796875, 120.16102600097656, 288.9189453125, 134.58502197265625), font: MyriadPro-Regular, size: 12.0)
Page 5:  (bbox: (102.9320068359375, 143.71702575683594, 105.35601043701172, 158.58502197265625), font: MyriadPro-Bold, size: 12.0)
Page 5: C (bbox: (120.04400634765625, 143.71702575683594, 129.60800170898438, 158.58502197265625), font: MyriadPro-Bold, size: 12.0)
Page 5: P and Q are both converging (bbox: (129.60800170898438, 144.16102600097656, 282.47607421875, 158.58502197265625), font: MyriadPro-Regular, size: 12.0)
Page 5:  (bbox: (102.9320068359375, 167.71702575683594, 105.35601043701172, 182.58502197265625), font: MyriadPro-Bold, size: 12.0)
Page 5: D (bbox: (120.04400634765625, 167.71702575683594, 130.8199920654297, 182.58502197265625), font: MyriadPro-Bold, size: 12.0)
Page 5: P and Q are both diverging (bbox: (130.8199920654297, 168.16102600097656, 273.65606689453125, 182.58502197265625), font: MyriadPro-Regular, size: 12.0)
Page 5:  (bbox: (42.512001037597656, 211.98500061035156, 45.055999755859375, 226.40899658203125), font: MyriadPro-Regular, size: 12.0)
Page 5:  (bbox: (60.93199920654297, 211.98500061035156, 63.47599792480469, 226.40899658203125), font: MyriadPro-Regular, size: 12.0)
Page 5: (iii)	 The focal length of lens Q is 0.14 m. (bbox: (75.27200317382812, 211.98500061035156, 273.81201171875, 226.40899658203125), font: MyriadPro-Regular, size: 12.0)
Page 5:  (bbox: (42.512001037597656, 235.9610137939453, 45.055999755859375, 250.385009765625), font: MyriadPro-Regular, size: 12.0)
Page 5:  (bbox: (60.93199920654297, 235.9610137939453, 63.47599792480469, 250.385009765625), font: MyriadPro-Regular, size: 12.0)
Page 5: Calculate the power of the lens. (bbox: (90.50000762939453, 235.9610137939453, 255.69204711914062, 250.385009765625), font: MyriadPro-Regular, size: 12.0)
Page 5: (2) (bbox: (495.78802490234375, 249.5210418701172, 510.22406005859375, 264.3890380859375), font: MyriadPro-Bold, size: 12.0)
Page 5:  (bbox: (42.512001037597656, 273.9410400390625, 45.055999755859375, 288.36505126953125), font: MyriadPro-Regular, size: 12.0)
Page 5:  (bbox: (60.93199920654297, 273.9410400390625, 63.47599792480469, 288.36505126953125), font: MyriadPro-Regular, size: 12.0)
Page 5: Use the equation (bbox: (90.50000762939453, 273.9410400390625, 186.16400146484375, 288.36505126953125), font: MyriadPro-Regular, size: 12.0)
